run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
25,5,0.2496095067515925,2,1.1237229674060165,1.1435639007489544,20,0.27194888684703594,2.192156799190589,0.16102607550094417,1.4378067785185367,0.20676953775266418,0.13142634672332365,0.04905980950474503,0.050200287408556345,300,200,800,0.0,0.0,0,True,300,1121542,110,0.5,0,0.6256076902703789,0.3743923097296212,0.5,0.5,0.0,14,0.2,0.2315243828734952,0.013597444342351796,0.6356175486571656,0.025100143704278172,,Extinct,Occasional,Fast,Moderate
26,2,0.034451666795514944,2,1.158784562992139,1.4467278133655153,20,0.11780121111074861,1.9841975415196194,0.06760155337051232,1.7263747623038217,0.16736198406568314,0.017369186953021674,0.04371243678886641,0.09726108445799465,300,200,800,0.0,1.0,1,False,300,1066970,126,0.2321158331542018,0,0.5245137443714037,0.4754862556285962,0.23175336449135,0.23247830181705365,-0.0007249373257036396,14,0.5,0.11670561563138733,0.00589006055553743,0.10378215250008589,0.022575837652448617,,Survived,Frequent,Moderate,Moderate
27,5,0.0,1,1.0650977942969928,1.2965409840504207,0,0.1506909024052704,2.4086568589098505,0.1831291268683365,1.7785219436092632,0.12495937607943139,0.058280770162333934,0.029529640260115834,0.02957288034959085,300,200,800,0.0,1.0,9,False,300,2328420,507,0.026022439471804226,0,1.0,0.0,0.026022439471804226,0.026022439471804226,0.0,0,0.2,0.3256991706493412,0.1506909024052704,0.46639773653549066,0.0007695584889041364,,Survived,Occasional,Fast,Simple
28,10,0.28568129774066925,3,0.9824849015979424,1.2714652191148643,15,0.1967080174151858,2.2139351140461265,0.144113247971576,1.9395192248177064,0.35030553838050305,0.02296388691094999,0.027474130072073666,0.04463791778308247,300,200,800,0.0,0.0,0,True,299,624590,70,0.5,0,0.524258490991027,0.47574150900897305,0.5,0.5,0.0,19,0.1,0.27951041499179297,0.013113867827679053,0.06555387909969763,0.022318958891541237,,Extinct,Rare,Fast,Complex
29,20,0.0,1,0.9970791239021574,1.2722359758054131,0,0.2570939919347843,1.7158852043027357,0.10018066358553471,1.6748977069943933,0.2917616074429592,0.0797010380808168,0.04574030379127621,0.0890220635250787,300,200,800,0.0,1.0,1,False,300,1552686,207,0.0877057978911813,0,1.0,0.0,0.0877057978911813,0.0877057978911813,0.0,0,0.05,0.1677923637245888,0.2570939919347843,0.2731717815079516,0.007807751111386455,,Survived,Rare,Moderate,Simple
30,20,0.3862951145502188,3,1.1798931328381799,1.1612769594959502,20,0.07065899648326902,2.3807522800507757,0.07817656007242421,1.6086320942670114,0.31421180676928795,0.039944430614073774,0.03625518365063622,0.08665940679784516,300,200,800,0.0,0.0,0,True,299,792576,103,0.5,0,0.5907201187824795,0.4092798812175204,0.5,0.5,0.0,14,0.05,0.1257573235518946,0.003532949824163451,0.12712581053137584,0.04332970339892258,,Extinct,Rare,Moderate,Complex
31,2,0.0,1,1.084801223281257,1.353383871961768,0,0.27301659943751505,1.6934712599690789,0.1272186077065232,1.3812284651022364,0.20913288757089182,0.08303937669212522,0.03867251531363879,0.020785207197417846,300,200,800,0.0,1.0,2,False,300,2340355,389,0.08324084077182818,0,1.0,0.0,0.08324084077182818,0.08324084077182818,0.0,0,0.5,0.1757179622549246,0.27301659943751505,0.3970651276164135,0.001730178122729716,,Survived,Frequent,Moderate,Simple
32,2,0.6498819791933546,2,1.1702994567955123,1.3673528146901734,20,0.06647883523106622,2.0892385433517187,0.1393465148844329,1.9323685377491395,0.2578092338995669,0.021541830375057913,0.03855371355430338,0.07728807292244949,300,200,800,0.0,1.0,1,False,300,1194128,144,0.07691096347967877,0,0.8254816568244615,0.17451834317553855,0.07433467823631666,0.07948724872304089,-0.005152570486724226,14,0.5,0.2692688212076703,0.0033239417615533113,0.08355724909158928,0.005944300153953262,,Survived,Frequent,Fast,Moderate
33,20,0.0,1,1.1826295027967637,1.3369713299421786,0,0.07105525705196748,1.9262335633807646,0.08315561104892749,1.2930772715721992,0.2881916660978351,0.03156029443699177,0.03169957137921417,0.043702836346351505,300,200,800,0.0,0.0,0,True,300,1162224,163,0.5,0,1.0,0.0,0.5,0.5,0.0,0,0.05,0.10752663065106619,0.07105525705196748,0.10951147499968894,0.021851418173175752,,Extinct,Rare,Moderate,Simple
34,10,0.0,1,1.1816985705813523,1.4948318939551575,0,0.25285460530032305,2.2358478198450698,0.19959970620462975,1.3941055842990453,0.11416913778657116,0.09234758821358162,0.04965729815058039,0.08545099302387386,300,200,800,0.0,1.0,3,False,300,2332636,501,0.03275666303146585,0,1.0,0.0,0.03275666303146585,0.03275666303146585,0.0,0,0.1,0.27826306504432313,0.25285460530032305,0.808866476562318,0.002799089384187175,,Survived,Rare,Fast,Simple
