run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
22,20,0.4810285597687129,3,1.0886755748143218,1.2541294953907411,15,0.19918677644758087,1.9856106801712559,0.1687219617817794,1.5322347031565309,0.39029978319121283,0.03621890875112684,0.02206953361067104,0.03213056295849242,300,200,800,0.9573333333333334,0.5506656111331014,0.9573333333333334,0.042666666666666665,750,False,300,172290,492,0.0028475188387679273,0.6123840200012358,0,0.6685659326541809,0.3314340673458192,0.7719077312469834,0.4528603087554882,0.3190474224914952,20,0.05,0.2585216450266923,0.013279118429838725,0.09279766556617004,0.01967624330942439,High_Coop,Survived,Rare,Fast,Complex
23,10,0.41605428068316685,3,1.1603093790382268,1.3634931954905258,25,0.06349414606027569,1.867781363120339,0.16690162844267398,1.2683315601672598,0.3368729712044313,0.04694470259842481,0.027183987155075987,0.09609659497123117,300,200,800,0.871523178807947,0.29403405526137477,0.871523178807947,0.12847682119205298,755,False,300,333438,1052,0.003145086549672636,0.4799307878093639,0,0.634950560895425,0.365049439104575,0.5956188543021834,0.36424272131654434,0.23137613298563908,12,0.1,0.21168660279715298,0.0025397658424110275,0.13935431634833184,0.04611971453034033,High_Coop,Survived,Rare,Fast,Complex
24,20,0.07539678586757886,3,0.9052259830318341,1.4918157319466991,15,0.09973721505822032,1.6251566880517494,0.10378054884550114,1.4453668243769713,0.1543674803141562,0.1465617188938925,0.04105029593038392,0.015054471558091455,300,200,800,0.1994949494949495,0.019019362552447166,0.1994949494949495,0.8005050505050505,792,False,300,644463,6408,0.009845268878164797,0.2902359458582213,0,0.4575745330956836,0.5424254669043165,0.24112076820408368,0.339351123512359,-0.09823035530827534,20,0.05,0.15000096231692114,0.006649147670548022,0.9494339001687528,0.0043693487920583645,Low_Coop,Survived,Rare,Moderate,Complex
25,5,0.6637339301192431,3,0.9076717916639279,1.3494855251047044,15,0.2168042643021723,2.417339127548081,0.09624093555891763,1.3250443946066244,0.21714533108385886,0.04610952114705567,0.03112346549993787,0.036650456540635305,300,200,800,0.8862199747155499,0.20058574277168495,0.8862199747155499,0.11378002528445007,791,False,300,422289,2744,0.0064559693012072004,0.48587679179519816,0,0.7676316289227555,0.23236837107724445,0.47768969540036355,0.4940638881900327,-0.016374192789669173,20,0.2,0.12752351219404118,0.014453617620144821,0.212344059699118,0.017807606241793218,High_Coop,Survived,Occasional,Moderate,Complex
26,5,0.0,1,1.0632607965100127,1.2017310585866894,0,0.18886158947985826,1.7858463306282353,0.07860641660429307,1.9656451796555696,0.2011775572304511,0.13118793365409398,0.03177807501651463,0.03482978418760178,300,200,800,0.7793190416141236,0.38125584972249216,0.7793190416141236,0.22068095838587642,793,False,300,278011,3087,0.010981935125828002,0.6160039544422138,0,1.0,0.0,0.6160039544422138,0.6160039544422138,0.0,0,0.2,0.1545123238882262,0.18886158947985826,0.6521002414986914,0.021455284791931584,High_Coop,Survived,Occasional,Moderate,Simple
27,10,0.678255785721843,2,0.8568554835784037,1.2646901889262179,10,0.19149293975207016,2.430079776880323,0.1530112862472448,1.875259381179873,0.2689015485938498,0.018861989296809035,0.04262236001256996,0.032429876675185744,300,200,800,0.7831021437578815,0.5566436055195768,0.7831021437578815,0.21689785624211855,793,False,300,209593,1092,0.005183093243467736,0.771014190135914,0,0.8174403744425691,0.18255962555743088,0.823574080540662,0.718454299731166,0.10511978080949591,30,0.1,0.2869358499615447,0.019149293975207017,0.07014459156313106,0.025003895100925905,High_Coop,Survived,Rare,Fast,Moderate
28,5,0.0,1,0.9925012147779556,1.377197707293167,0,0.06077996286344993,1.5422230955288305,0.18834518880533274,1.5257524887754312,0.35320570875479773,0.09790624643673451,0.04937801212422074,0.08858682430902415,300,200,800,0.9416983523447402,0.682741143220666,0.9416983523447402,0.058301647655259824,789,False,300,140082,1735,0.012234076309610273,0.8228671694227183,0,1.0,0.0,0.8228671694227183,0.8228671694227183,0.0,0,0.2,0.2873681405686149,0.06077996286344993,0.2771932729567033,0.07289518936731436,High_Coop,Survived,Occasional,Fast,Simple
29,20,0.6210299300472032,2,0.8073942818716003,1.2795824707244403,10,0.06047876396953002,1.8465824700200064,0.07375662794770674,1.3464057044454925,0.2924593376957376,0.12790519566030684,0.029458697707519882,0.0016003446904036434,300,200,800,0.9787516600265604,0.6721436537212466,0.9787516600265604,0.021248339973439574,753,False,300,128141,1060,0.008204270864776588,0.5944043377973719,0,0.7948718734298215,0.20512812657017856,0.651223648697408,0.5375850268973358,0.11363862180007223,30,0.05,0.09930634460945618,0.0060478763969530015,0.4373435181384908,0.0009512518259469178,High_Coop,Survived,Rare,Slow,Moderate
30,5,0.6975724028105208,3,0.8887832646581642,1.3503848268097174,10,0.0635353590969293,2.2548660474282394,0.06739303669011373,1.2928536397929393,0.27460520509839537,0.08142530516862873,0.04766765538816644,0.014382424654384763,300,200,800,0.9071246819338422,0.41867815644170187,0.9071246819338422,0.09287531806615776,786,False,300,308347,1395,0.0045037482808272696,0.5972826671301072,0,0.7833668365200318,0.21663316347996822,0.6274784363810866,0.5670868978791279,0.060391538501958664,30,0.2,0.08712933278151265,0.00635353590969293,0.29651770489730067,0.008590372957368742,High_Coop,Survived,Occasional,Slow,Complex
31,10,0.5307700485470506,3,1.1538033983655447,1.235530679182512,25,0.05738054641171221,2.0164694059855566,0.19082539198118464,1.48958763279299,0.3007823124398548,0.05831607417261153,0.03970551928389143,0.08285857412110015,300,200,800,0.9696202531645569,0.4801479407151734,0.9696202531645569,0.030379746835443037,790,False,300,262442,557,0.0021178787752044684,0.6538383607082885,0,0.6941871129852439,0.30581288701475606,0.7860950612619968,0.5215816601545801,0.2645134011074167,12,0.1,0.28425114391804723,0.002295221856468488,0.1938813279928904,0.05417611427396633,High_Coop,Survived,Rare,Fast,Complex
