run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
30,10,0.0,1,0.9469860494702227,1.49120676501277,0,0.16183980251699687,1.9636204249895293,0.17438375064901995,1.413605953023705,0.11913201734674389,0.09783355386807949,0.044149368295847286,0.08961139506642916,300,200,800,0.0,1.0,5,False,300,2339427,500,0.038643367418992276,0,1.0,0.0,0.038643367418992276,0.038643367418992276,0.0,0,0.1,0.246509908028056,0.16183980251699687,0.8212196523401982,0.003462886064480494,,Survived,Rare,Fast,Simple
31,20,0.20545921217891447,2,0.9072846947570392,1.1510303569299893,20,0.1155055684093426,1.8197819527761374,0.10185766857313197,1.7470522640853998,0.12811183422031971,0.02064110081461787,0.02702520118238939,0.08075341487759712,300,200,800,0.0,0.0,0,True,300,1018937,153,0.5,0,0.6015458690120513,0.3984541309879487,0.5,0.5,0.0,14,0.05,0.17795067049515048,0.00577527842046713,0.16111783068471594,0.04037670743879856,,Extinct,Rare,Moderate,Moderate
32,10,0.2504018137841419,2,0.9019155793866158,1.2137909740636135,15,0.27349330311038955,1.9898200152025711,0.1321468384866831,1.4131451168591331,0.32065116191213383,0.1441180363008692,0.036637246907432995,0.00893849793514836,300,200,800,0.0,0.0,0,True,298,811379,85,0.5,0,0.6238874081650717,0.37611259183492823,0.5,0.5,0.0,19,0.1,0.18674265951582877,0.01823288687402597,0.4494542774816485,0.00446924896757418,,Extinct,Rare,Moderate,Moderate
33,20,0.6516233183773703,3,0.9733244066786524,1.2180385081542628,25,0.28974081418124376,2.024517674724184,0.17634573866155884,1.4046147531747104,0.3634530195478123,0.09413440401006104,0.048896594228707235,0.09169666061982042,300,200,800,0.0,1.0,1,False,300,1000937,105,0.10134108921154505,0,0.7676711313230754,0.23232886867692454,0.09771504889932701,0.10496712952376308,-0.007252080624436066,12,0.05,0.24769782618351746,0.01158963256724975,0.2590001979545465,0.009292639464273991,,Survived,Rare,Fast,Complex
34,5,0.7771087891119333,2,0.9057230965125143,1.2000894988634037,25,0.21918738024364415,1.8230319500319396,0.11177557568044016,1.9410953242895017,0.2293519570483381,0.07209091591261042,0.04010530197618149,0.049140876935489936,300,200,800,0.0,1.0,3,False,300,1839975,251,0.12274707308498098,0,0.8893886068626974,0.1106113931373026,0.0897731592042432,0.15572098696571876,-0.06594782776147556,12,0.2,0.21696704732306973,0.008767495209745766,0.3143243983630651,0.006031898812660639,,Survived,Occasional,Fast,Moderate
35,20,0.0,1,1.0891237857533174,1.4981353595174307,0,0.13573068295409108,1.6471177711971219,0.17177220723398062,1.702119796309781,0.1794650088580308,0.05514475545538864,0.043757254953459626,0.05158233713059494,300,200,800,0.0,1.0,4,False,300,2348781,520,0.036333238176109076,0,1.0,0.0,0.036333238176109076,0.036333238176109076,0.0,0,0.05,0.29237687438878457,0.13573068295409108,0.3072730211102708,0.0018741533406462607,,Survived,Rare,Fast,Simple
36,2,0.32697039195268174,3,1.0614087230173137,1.1556276362196565,20,0.2929675437207914,2.0980169616016937,0.1781006108717048,1.258684842014767,0.3398002397348795,0.004633588437817132,0.04109766830028597,0.028222345497898406,300,200,800,0.0,0.0,0,True,299,722860,83,0.5,0,0.5585708823419795,0.4414291176580205,0.5,0.5,0.0,14,0.5,0.22417253925778524,0.014648377186039572,0.01363621297451812,0.014111172748949203,,Extinct,Frequent,Fast,Complex
37,20,0.48840407432569477,2,1.0022581031302251,1.332301818893506,20,0.140777583388484,2.375465497920149,0.1693089810991559,1.5151315158586949,0.28423964671246,0.12949000498949897,0.03183483208261293,0.06874803925376165,300,200,800,0.0,0.0,0,True,299,821619,109,0.5,0,0.7431825377858275,0.25681746221417245,0.5,0.5,0.0,14,0.05,0.2565253731812552,0.0070388791694242,0.4555663028968387,0.034374019626880824,,Extinct,Rare,Fast,Moderate
38,20,0.0,1,1.1237282650155955,1.2883716457127394,0,0.23605634403764547,1.6400774785383303,0.1433949039944022,1.4159324263220734,0.166041920217065,0.0073583081756707245,0.047647184528119405,0.019662245918539503,300,200,800,0.0,1.0,3,False,300,2336745,466,0.07008812183117734,0,1.0,0.0,0.07008812183117734,0.07008812183117734,0.0,0,0.05,0.20303749433501467,0.23605634403764547,0.04431596651045278,0.001378089887413166,,Survived,Rare,Fast,Simple
39,2,0.0,1,1.0014214451706054,1.1351658895530685,0,0.05502182710412003,1.522890937178848,0.12155521847433569,1.2757553651178044,0.3517932292430864,0.0977884921237584,0.036749822647910046,0.04675430616699522,300,200,800,0.0,0.0,0,True,300,824940,105,0.5,0,1.0,0.0,0.5,0.5,0.0,0,0.5,0.15507472212670062,0.05502182710412003,0.27797150142473975,0.02337715308349761,,Extinct,Frequent,Moderate,Simple
40,20,0.7541342705649355,2,1.0387881655616096,1.2230688653519488,25,0.16450381795412317,2.050508373002287,0.14228264578387106,1.572637900760115,0.1757980248181566,0.07277153740643018,0.020816619915050138,0.028627091516497227,300,200,800,0.0,1.0,1,False,300,1104656,193,0.11390934232483002,0,0.8773768400436625,0.12262315995633756,0.08364592578940357,0.14417275886025646,-0.060526833070852895,12,0.05,0.22375908138014203,0.0065801527181649265,0.41394968732842247,0.00326089316731692,,Survived,Rare,Fast,Moderate
