run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,total_shocks_experienced,average_shock_severity,recovery_success_rate,crisis_response_knowledge,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
20,10,0.06634782994088644,2,1.144944532628009,1.122026718883549,25,0.2238264797955235,1.7918153843766533,0.08567305937434375,1.3816999063791109,0.1665344667133427,0.07387123012045482,0.02476644481413689,0.05973457099198418,300,200,800,0.5045513654096229,0.08035696142513632,0.5045513654096229,0.49544863459037713,769,False,300,448047,3246,0.0071926664051957375,0.33161961642949783,0,0.5327259796118806,0.4672740203881193,0.3375008051802732,0.32573842767872246,0.011762377501550736,12,0.1,0.11837445811674276,0.00895305919182094,0.4435792276418673,0.019809155519942404,5,0.36868164687005217,0.15,0.15,Medium_Coop,Survived,Rare,Moderate,Moderate
21,5,0.3223891771400251,2,0.9908412534015125,1.3783040458303453,20,0.160568014047704,2.2678128150063137,0.1879897193190087,1.318721563491526,0.20786048076121733,0.059693675366511184,0.03424136673840798,0.03363555637039677,300,200,800,0.028858218318695106,0.04395025536495431,0.028858218318695106,0.9711417816813049,797,False,300,585924,4977,0.008422730711235893,0.2354948252048743,0,0.6586497721182695,0.34135022788173053,0.24270416653888843,0.22828548387086015,0.014418682668028288,15,0.2,0.2479060965806963,0.0080284007023852,0.28718145531032974,0.007920999468115284,13,0.5541970574799594,0.15,0.15,Collapse,Survived,Occasional,Fast,Moderate
22,10,0.0,1,1.0554276494592059,1.3855295148255993,0,0.15889526784883184,1.8358499732505322,0.13505043450007848,1.7363998874797621,0.3242588154363877,0.14774971538859183,0.03301086549058819,0.07379486210075463,300,200,800,0.9887218045112782,0.4802451103733116,0.9887218045112782,0.011278195488721804,798,False,300,220593,2241,0.010056813592180726,0.7626077340972475,0,1.0,0.0,0.7626077340972475,0.7626077340972475,0.0,0,0.1,0.23450155927002925,0.15889526784883184,0.4556536579884503,0.05627653257467533,8,0.5230728861444979,0.15,0.15,High_Coop,Survived,Rare,Fast,Simple
23,20,0.0,1,1.1128910406125088,1.3076857053906352,0,0.09918289667938447,1.6662416284326023,0.12344304677692701,1.306281488323415,0.22464514536155483,0.09370353565653114,0.04821051347792145,0.018498818259726647,300,200,800,0.8299748110831234,0.3572421339777931,0.8299748110831234,0.17002518891687657,794,False,300,338044,4312,0.01259507647010714,0.6636055675794584,0,1.0,0.0,0.6636055675794584,0.6636055675794584,0.0,0,0.05,0.16125136686694116,0.09918289667938447,0.4171180085183684,0.01227591879079515,12,0.5111251729059049,0.15,0.15,High_Coop,Survived,Rare,Moderate,Simple
24,5,0.0,1,1.1507205639897877,1.207011057152257,0,0.13192410252559955,1.5127649401681582,0.14766830601337894,1.5536126364035077,0.16940971837808322,0.06850123726374784,0.02885611925432414,0.09254347298563989,300,200,800,0.5279255319148937,0.3147884669171744,0.5279255319148937,0.4720744680851064,752,False,300,298718,3729,0.012329432925438175,0.7245339662410989,0,1.0,0.0,0.7245339662410989,0.7245339662410989,0.0,0,0.2,0.2294193462186856,0.13192410252559955,0.4043524652515445,0.06705088953201166,13,0.6641990910548599,0.15,0.15,Medium_Coop,Survived,Occasional,Fast,Simple
25,2,0.7101651031567402,3,0.8553636184500443,1.425629047994112,10,0.20563617186316568,2.1844020717259296,0.1702069828866649,1.3835372682558864,0.3479105158350705,0.07460777404710975,0.04708535137210796,0.04980479619159799,300,200,800,0.16414141414141414,0.06266289240812996,0.16414141414141414,0.8358585858585859,792,False,300,652151,6744,0.010235318222175004,0.4145010827685601,0,0.8055517302935251,0.19444826970647489,0.3555018847718433,0.4735002807652769,-0.11799839599343359,30,0.5,0.23548770414109274,0.02056361718631657,0.21444529742952095,0.020644141948484827,37,0.5011930459836176,0.15,0.15,Low_Coop,Survived,Frequent,Fast,Complex
26,10,0.7737502531707786,3,0.8493313639516333,1.3913356643043144,25,0.08264202356853363,1.836658270820187,0.15589804306444333,1.683960401594841,0.3071218696460453,0.04520704367337118,0.03242928534537635,0.01158057710590571,300,200,800,0.12688442211055276,0.3523932683368692,0.12688442211055276,0.8731155778894473,796,False,300,316247,3561,0.011134805883530118,0.4921711193961405,0,0.8482247145479249,0.15177528545207503,0.5824527277647268,0.4018895110275542,0.18056321673717257,12,0.1,0.2625261312066498,0.003305680942741345,0.14719578167934383,0.00569962559746693,10,0.5887636364990482,0.15,0.15,Low_Coop,Survived,Rare,Fast,Complex
27,10,0.10695932453443664,3,1.0723563514390086,1.3068758544129662,10,0.22521841556494565,1.6469860562663736,0.12238969103286658,1.232263403508865,0.20666943813296856,0.10717872312904941,0.044083461974058935,0.0596482636298072,300,200,800,0.3312421580928482,0.021448791077813723,0.3312421580928482,0.6687578419071518,797,False,300,662263,6177,0.009240919155047574,0.3421743323945706,0,0.41242763493955387,0.5875723650604461,0.2926191434667817,0.3917295213223595,-0.0991103778555778,30,0.1,0.1508163372265586,0.022521841556494566,0.5185997702286873,0.020410104786024626,3,0.45584434990878925,0.15,0.15,Medium_Coop,Survived,Rare,Moderate,Complex
28,10,0.6496228868395497,3,0.8726759425963577,1.3142757839226482,15,0.12120737869243188,2.196688839581923,0.08213167475718572,1.4654266625287948,0.2043334767557054,0.05837801275430824,0.040665804198911415,0.02123810051647187,300,200,800,0.7572692793931732,0.21287528646248371,0.7572692793931732,0.2427307206068268,791,False,300,450745,3286,0.007237391279450081,0.5007927986357987,0,0.7622512516418354,0.23774874835816467,0.5135272661550473,0.4880583311165503,0.02546893503849701,20,0.1,0.12035794602732314,0.008080491912828792,0.2856996987532451,0.010635887795352352,6,0.37556950955966073,0.15,0.15,High_Coop,Survived,Rare,Moderate,Complex
29,2,0.33007639861828975,3,1.0034602555032224,1.350447146765204,10,0.29466508328711655,2.227361206814325,0.15637059067309267,1.241525872954553,0.10759135067752795,0.1281399998419391,0.036457564017342785,0.003533131624443531,300,200,800,0.1590909090909091,0.006418228911126071,0.1590909090909091,0.8409090909090909,792,False,300,663390,4084,0.006118590387041293,0.254759854073821,0,0.5520931983888819,0.44790680161111807,0.16735186498175258,0.34216784316588944,-0.17481597818413686,30,0.5,0.19413813408983047,0.029466508328711654,1.19098792825828,0.0009001000970668362,34,0.5377092970268046,0.15,0.15,Low_Coop,Survived,Frequent,Moderate,Complex
